FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,gva,lsoa_workers_at_workplace,ln_gva,ln_jobs,elasticity
31042,E01032713,Swindon 026F, ,412336,189401,51.60332,-1.82327,4cb5043e-7cba-433b-bdf1-003cc2ba955a,23.418000000000003,305,3.153504957426533,5.720311776607412,0.316243648944139
31043,E01032714,Swindon 019E, ,415276,184460,51.55882,-1.78103,1c8bca2f-5d3e-4314-809e-8d8c5b755730,124.52899999999995,2013,4.824538620507287,7.607381425639791,0.5904378603865265
31044,E01032715,Swindon 019F, ,415504,184046,51.55509,-1.77776,15f86ef6-8079-41f2-a2a9-928a4224cdda,58.034000000000006,740,4.061029045690827,6.606650186198215,0.5524314835726809
31045,E01032716,Swindon 012G, ,413995,184970,51.56344,-1.79949,47305629-67e7-45c9-969d-d96f17cbcf6d,139.00199999999995,1016,4.934488321516387,6.923628628138427,0.6180943254196103
31883,E01033841,Swindon 008F, ,412846,191365,51.62096,-1.81583,cb38d5da-2fe1-4c13-b2b1-ceb2036b7471,317.0090000000001,175,5.758930164641452,5.1647859739235145,0.3505556711721395
31885,E01033843,Swindon 008H, ,416662,193513,51.64018,-1.76061,a546eeb2-c09c-4922-809f-9642da0f5d05,317.0090000000001,88,5.758930164641452,4.477336814478207,0.48691656153036666
31887,E01033845,Swindon 015E, ,414947,184971,51.56342,-1.78575,33520b84-9fb3-4364-aa53-367283361028,20.80600000000001,1411,3.035241406648704,7.252053951852814,0.6181116875360977
31888,E01033846,Swindon 015F, ,414519,184608,51.56017,-1.79194,6f655c6f-f861-4c22-9887-8104cbb5f04c,20.80600000000001,170,3.035241406648704,5.135798437050262,0.6058079277600759
31889,E01033847,Swindon 024E, ,417144,182273,51.5391,-1.75419,bf9a91dc-3d75-414c-bb52-141a8824224d,82.715,766,4.415400964058979,6.641182169740591,0.5005961385101454
31890,E01033848,Swindon 024F, ,414628,182549,51.54165,-1.79046,aba24180-5abc-420d-a7b5-f86a66c8ea4f,82.715,200,4.415400964058979,5.298317366548036,0.5644481064447399
31891,E01033849,Swindon 025G, ,418515,181941,51.53607,-1.73444,627633a7-992a-454e-bca1-03689504c76e,16.173000000000002,93,2.7833431851376416,4.532599493153256,0.45634001917509137
31892,E01033850,Swindon 025H, ,417001,179045,51.51008,-1.75641,5e433b6b-deeb-44fe-b77d-f396c14cbb2e,16.173000000000002,129,2.7833431851376416,4.859812404361672,0.5236747905930441
31902,E01033860,Swindon 028F, ,414775,188947,51.59918,-1.78807,bebf944a-0d7a-47d9-b670-fc85acc282d9,14.105499999999996,172,2.646564792248224,5.147494476813453,0.42626061858212766
31903,E01033861,Swindon 028G, ,414773,189478,51.60395,-1.78808,98fb8beb-7307-4cc1-aaaa-e210ea0813c9,14.105499999999996,407,2.646564792248224,6.008813185442595,0.38968557120223823
